service_id,date,exception_type
1008,20210206,1
1002,20210207,1
1014,20210208,1
1004,20210209,1
1005,20210210,1
1006,20210211,1
1007,20210212,1
1008,20210213,1
1002,20210214,1
1014,20210215,1
1004,20210216,1
1005,20210217,1
1006,20210218,1
1007,20210219,1
1008,20210220,1
1002,20210221,1
1014,20210222,1
1004,20210223,1
1005,20210224,1
1006,20210225,1
1007,20210226,1
1008,20210227,1
1002,20210228,1
1014,20210301,1
1004,20210302,1
1005,20210303,1
1006,20210304,1
1007,20210305,1
1008,20210306,1
1002,20210307,1
1014,20210308,1
1004,20210309,1
1005,20210310,1
1006,20210311,1
1007,20210312,1
1008,20210313,1
1002,20210314,1
1014,20210315,1
1004,20210316,1
1005,20210317,1
1006,20210318,1
1007,20210319,1
1008,20210320,1
1002,20210321,1
1014,20210322,1
1004,20210323,1
1005,20210324,1
1006,20210325,1
1007,20210326,1
1008,20210327,1
1002,20210328,1
1014,20210329,1
1004,20210330,1
1005,20210331,1
1006,20210401,1
1007,20210402,1
1008,20210403,1
1002,20210404,1
1014,20210405,1
1004,20210406,1
1005,20210407,1
1006,20210408,1
1007,20210409,1
1008,20210410,1
1002,20210411,1
1014,20210412,1
1004,20210413,1
1005,20210414,1
1006,20210415,1
1007,20210416,1
1008,20210417,1
1002,20210418,1
1014,20210419,1
1004,20210420,1
1005,20210421,1
1006,20210422,1
1007,20210423,1
1008,20210424,1
1002,20210425,1
1014,20210426,1
1004,20210427,1
1005,20210428,1
1006,20210429,1
1007,20210430,1
1008,20210501,1
1002,20210502,1
1014,20210503,1
1004,20210504,1
1005,20210505,1
1006,20210506,1
1007,20210507,1
1008,20210508,1
1002,20210509,1
1014,20210510,1
1004,20210511,1
1005,20210512,1
1006,20210513,1
1007,20210514,1
1008,20210515,1
1002,20210516,1
1014,20210517,1
1004,20210518,1
1005,20210519,1
1006,20210520,1
1007,20210521,1
1008,20210522,1
1002,20210523,1
1014,20210524,1
1004,20210525,1
1005,20210526,1
1006,20210527,1
1007,20210528,1
1008,20210529,1
1002,20210530,1
1014,20210531,1
1004,20210601,1
1005,20210602,1
1006,20210603,1
1007,20210604,1
1008,20210605,1
1002,20210606,1
1014,20210607,1
1004,20210608,1
1005,20210609,1
1006,20210610,1
1007,20210611,1
1008,20210612,1
1002,20210613,1
1014,20210614,1
1004,20210615,1
1005,20210616,1
1006,20210617,1
1007,20210618,1
1008,20210619,1
1002,20210620,1
1014,20210621,1
1004,20210622,1
1005,20210623,1
1006,20210624,1
1007,20210625,1
1008,20210626,1
1002,20210627,1
1014,20210628,1
1004,20210629,1
1005,20210630,1
1006,20210701,1
1007,20210702,1
1008,20210703,1
1002,20210704,1
1014,20210705,1
1004,20210706,1
1005,20210707,1
1006,20210708,1
1007,20210709,1
1008,20210710,1
1002,20210711,1
1014,20210712,1
1004,20210713,1
1005,20210714,1
1006,20210715,1
1007,20210716,1
1008,20210717,1
1002,20210718,1
1014,20210719,1
1004,20210720,1
1005,20210721,1
1006,20210722,1
1007,20210723,1
1008,20210724,1
1002,20210725,1
1014,20210726,1
1004,20210727,1
1005,20210728,1
1006,20210729,1
1007,20210730,1
1008,20210731,1
1002,20210801,1
1014,20210802,1
1004,20210803,1
1005,20210804,1
1006,20210805,1
1007,20210806,1
1008,20210807,1
1002,20210808,1
1014,20210809,1
1004,20210810,1
1005,20210811,1
1006,20210812,1
1007,20210813,1
1008,20210814,1
1002,20210815,1
1014,20210816,1
1004,20210817,1
1005,20210818,1
1006,20210819,1
1007,20210820,1
1008,20210821,1
1002,20210822,1
1014,20210823,1
1004,20210824,1
1005,20210825,1
1006,20210826,1
1007,20210827,1
1008,20210828,1
1002,20210829,1
1014,20210830,1
1004,20210831,1
1005,20210901,1
1006,20210902,1
1007,20210903,1
1008,20210904,1
1002,20210905,1
1014,20210906,1
1004,20210907,1
1005,20210908,1
1006,20210909,1
1007,20210910,1
1008,20210911,1
1002,20210912,1
1014,20210913,1
1004,20210914,1
1005,20210915,1
1006,20210916,1
1007,20210917,1
1008,20210918,1
1002,20210919,1
1014,20210920,1
1004,20210921,1
1005,20210922,1
1006,20210923,1
1007,20210924,1
1008,20210925,1
1002,20210926,1
1014,20210927,1
1004,20210928,1
1005,20210929,1
1006,20210930,1
1007,20211001,1
1008,20211002,1
1002,20211003,1
1014,20211004,1
1004,20211005,1
1005,20211006,1
1006,20211007,1
1007,20211008,1
1008,20211009,1
1002,20211010,1
1014,20211011,1
1004,20211012,1
1005,20211013,1
1006,20211014,1
1007,20211015,1
1008,20211016,1
1002,20211017,1
1014,20211018,1
1004,20211019,1
1005,20211020,1
1006,20211021,1
1007,20211022,1
1008,20211023,1
1002,20211024,1
1014,20211025,1
1004,20211026,1
1005,20211027,1
